Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,3,4,1954,1925,2239,2235,WN,1754,N243WN,165,190,155,4,29,ISP,FLL,1093,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,700,700,851,900,WN,449,N528SW,111,120,99,-9,0,JAN,MDW,666,6,6,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,816,815,1339,1340,WN,249,N256WN,203,205,185,-1,1,LAS,BNA,1588,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1506,1440,2030,2010,WN,2032,N271WN,204,210,183,20,26,LAS,BNA,1588,6,15,0,,0,18,0,0,0,2
2008,1,3,4,1426,1355,1605,1530,WN,488,N615SW,99,95,75,35,31,LAS,SFO,414,3,21,0,,0,0,0,22,0,13
2008,1,3,4,1301,1300,1422,1415,WN,1655,N669SW,81,75,65,7,1,LAX,OAK,337,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,625,625,717,720,WN,63,N768SW,52,55,37,-3,0,MCI,STL,237,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,818,805,1145,1135,WN,629,N376SW,147,150,131,10,13,MCI,TPA,1048,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,2100,2030,2324,2255,WN,121,N467WN,144,145,131,29,30,MCO,ISP,972,4,9,0,,0,11,0,0,0,18
2008,1,3,4,2106,1925,2,2215,WN,714,N305SW,116,110,90,107,101,MDW,ALB,717,5,21,0,,0,48,0,6,0,53
2008,1,3,4,2239,2115,2358,2240,WN,3491,N523SW,79,85,67,78,84,MDW,OMA,423,2,10,0,,0,7,0,0,0,71
2008,1,3,4,2046,2010,2159,2130,WN,2901,N265WN,73,80,61,29,36,ONT,SMF,389,5,7,0,,0,0,0,0,0,29
2008,1,3,4,802,800,1016,1030,WN,1683,N264LV,134,150,98,-14,2,PHL,JAX,742,6,30,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1656,1630,2006,2005,WN,262,N759GS,310,335,294,1,26,PHL,PHX,2075,8,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1723,1715,1830,1825,WN,3493,N206WN,67,70,51,5,8,PHL,PVD,238,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,617,615,655,650,WN,1597,N429WN,98,95,71,5,2,RDU,BNA,443,18,9,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1615,1545,1725,1655,WN,637,N342SW,70,70,54,30,30,RNO,LAS,345,6,10,0,,0,14,0,0,0,16
2008,1,3,4,1927,1855,2049,2020,WN,520,N283WN,82,85,64,29,32,RNO,LAX,390,9,9,0,,0,17,0,0,0,12
2008,1,3,4,2001,1935,2127,2100,WN,998,N369SW,146,145,127,27,26,SAT,PHX,843,11,8,0,,0,11,0,1,0,15
2008,1,3,4,646,635,828,815,WN,3949,N323SW,102,100,74,13,11,SLC,PHX,507,4,24,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1136,1135,1246,1255,WN,330,N236WN,70,80,60,-9,1,SMF,LAX,373,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,2240,2125,2355,2240,WN,633,N314SW,75,75,57,75,75,SMF,ONT,389,4,14,0,,0,0,0,0,0,75
2008,1,3,4,1819,1800,1942,1925,WN,114,N343SW,83,85,70,17,19,SMF,SAN,480,3,10,0,,0,13,0,0,0,4
2008,1,3,4,1158,1150,1346,1345,WN,87,N340LV,48,55,38,1,8,STL,SDF,254,2,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1647,1535,1742,1635,WN,574,N314SW,55,60,43,67,72,TUL,DAL,237,3,9,0,,0,0,0,0,0,67
2008,1,4,5,652,650,715,725,WN,1653,N410WN,83,95,73,-10,2,ABQ,LAS,487,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,702,700,754,800,WN,3833,N749SW,52,60,38,-6,2,BWI,PIT,210,6,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1935,1915,2047,2040,WN,1062,N606SW,132,145,117,7,20,BWI,STL,737,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,844,845,947,950,WN,6,N527SW,63,65,53,-3,-1,DAL,LBB,293,2,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1649,1650,1750,1755,WN,38,N527SW,61,65,52,-5,-1,DAL,LBB,293,2,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,639,640,636,645,WN,19,N528SW,57,65,44,-9,-1,DTW,MDW,229,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1215,1205,1244,1245,WN,1679,N206WN,89,100,71,-1,10,DTW,STL,440,5,13,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2032,2005,2248,2235,WN,2192,N669SW,76,90,67,13,27,ELP,DAL,562,4,5,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1311,1310,1523,1525,WN,3832,N249WN,192,195,168,-2,1,FLL,MDW,1166,6,18,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,828,825,912,915,WN,1,N511SW,44,50,33,-3,3,HOU,CRP,187,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,718,715,706,710,WN,1016,N742SW,48,55,36,-4,3,IND,MDW,162,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,923,920,1205,1210,WN,71,N682SW,102,110,89,-5,3,LAS,BOI,520,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2218,2155,2348,2325,WN,1950,N235WN,90,90,74,23,23,LAS,OAK,407,5,11,0,,0,22,0,0,0,1
2008,1,4,5,600,600,757,805,WN,102,N337SW,57,65,44,-8,0,LAS,PHX,256,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,NA,900,NA,1020,WN,1486,,NA,80,NA,NA,NA,LAX,SMF,373,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,1043,1035,1214,1215,WN,8,N515SW,91,100,81,-1,8,LIT,MDW,544,5,5,0,,0,NA,NA,NA,NA,NA
