WBAN|WMO|CallSign|ClimateDivisionCode|ClimateDivisionStateCode|ClimateDivisionStationCode|Name|State|Location|Latitude|Longitude|GroundHeight|StationHeight|Barometer|TimeZone
03011||TEX||||TELLURIDE|CO|TELLURIDE REGIONAL AIRPORT|37.954|-107.901|9078|9078||-7 
03012||SKX||||TAOS|NM|TAOS REGIONAL AIRPORT|36.458|-105.667|7091|7091||-7 
03013||LAA||||LAMAR|CO|LAMAR MUNICIPAL AIRPORT|38.070|-102.688|3683|3703|3675|-7 
03014||4SL||||TORREON|NM|TORREON|35.789|-107.248|0|6909|0|-7 
03016||RIL||||RIFLE|CO|GARFIELD CO REGIONAL ARPT|39.526|-107.726|5498|5544|5506|-7 
03017|72469|DEN|04|05|2220|DENVER|CO|DENVER INTERNATIONAL AIRPORT|39.833|-104.658|5437|5431|5382|-7 
03024||BGD||||BORGER|TX|HUTCHINSON COUNTY AIRPORT|35.700|-101.394|3040|3054|3041|-6 
03026||ITR||||BURLINGTON|CO|KIT CARSON COUNTY AIRPORT|39.245|-102.284|4192|4217|4198|-7 
03027||CQC||||CLINES CORNERS|NM|CLINES CORNERS|35.003|-105.663|7086|7086|7092|-7 
03028||SPD||||SPRINGFIELD|CO|COMANCHE NATIONAL GRASSLAND|37.283|-102.614|4880|4380|4386|-7 
03029||RQE||||WINDOW ROCK|AZ|WINDOW ROCK AIRPORT|35.658|-109.061|6733|6739|6745|-7 
03030||GUY||||GUYMON|OK|GUYMON MUNICIPAL AIRPORT|36.682|-101.505|3112|3112|3118|-6 
03031||ODO||||ODESSA|TX|ODESSA-SCHLEMEYER FLD ARPT|31.921|-102.387|2964|3001|2962|-6 
03032||6R6||||DRYDEN|TX|TERRELL COUNTY AIRPORT|30.048|-102.213|274|2301|2307|-6 
03033||0E0||||MORIARTY|NM|MORIARTY AIRPORT|34.985|-106.000|6199|6199||-7 
03034||AEG||||ALBUQUERQUE|NM|DOUBLE EAGLE II AIRPORT|35.145|-106.784|5837|5837||-7 
03035||ATS||||ARTESIA|NM|ARTESIA MUNICIPAL AIRPORT|32.853|-104.467|3541|3541||-7 
03036||BDG||||BLANDING|UT|BLANDING MUNICIPAL AIRPORT|37.583|-109.583|5865|5865||-7 
03037||CBK||||COLBY|KS|SHALTZ FIELD AIRPORT|39.428|-101.034|3186|3186||-6 
03038||CCU||||COPPER MOUNTAIN|CO|COPPER MOUNTAIN|39.467|-106.150|0|12074|0|-7 
03039||CPW||||WOLF CREEK PASS|CO|WOLF CREEK PASS AWOS-3 AIRPORT|37.450|-106.800|11791|11791||-7 
03040||MNH||||MONUMENT HILL|CO|MONUMENT HILL AWOS-3 ARPT|39.217|-104.633|7060|7060||-7 
03041||MYP||||MONARCH PASS|CO|MONARCH PASS AWOS-3 ARPT|38.483|-106.317|12031|12031||-7 
03042||VTP||||LA VETA PASS|CO|LA VETA PASS AWOS-3 ARPT|37.500|-105.167|10217|10217||-7 
03043||ADT||||ATWOOD|KS|ATWOOD-RAWLNS CO CTY CO AP|39.840|-101.042|2991|2991||-6 
03044||BPG||||BIG SPRING|TX|BIG SRNG MCMHN-WRKLE ARPT|32.213|-101.521|2573|2573||-6 
03045||PYX||||PERRYTON|TX|PERRYTON OCHILTREE CO ARPT|36.414|-100.750|2918|2918||-6 
03047||B140||||MONAHANS 6 ENE|TX|SANDHILLS STATE PARK|31.622|-102.807|2721|2724|99999|-6 
03048||C7D0||||SCORRO 20 N|NM|SEVILLETA NATIONAL WILDLIFE REFUGE|34.356|-106.886|4844|4847|99999|-7 
03049||E38||||ALPINE|TX|ALPINE-CASPARIS MUNI ARPT|30.384|-103.684|4315|4315||-6 
03050||SNK||||SNYDER|TX|WINSTON FIELD AIRPORT|32.693|-100.951|2430|2430||-6 
03051||3K7||||LEOTI|KS|MARK HOARD MEMORIAL ARPT|38.457|-101.353|3303|3303||-6 
03052||PPA||||PAMPA|TX|PERRY LEFORS FIELD AIRPORT|35.613|-100.996|3245|3245||-6 
03053||5T6||||SANTA TERESA|NM|DONA ANA COUNTY AIRPORT AT SANTA TERESA|31.881|-106.705|4112|4112||-7 
03054||71AA||||MULESHOE 19 S|TX|MULESHOE NATIONAL WILDLIFE REFUGE|33.956|-102.774|3739|2742|99999|-6 
03055||812E||||GOODWELL 2 E|OK|OK PANHANDLE RESEARCH & EXTENSION CENTER|36.599|-101.595|3263|3266|99999|-6 
03056||GNC||||SEMINOLE|TX|GAINES COUNTY AIRPORT|32.675|-102.654|3315|3315||-6 
03058||PEQ||||PECOS|TX|PECOS MUNICIPAL AIRPORT|31.383|-103.511|2613|2613||-6 
